,family,perm_importance,perm_sd,mean_abs_shap
prop_active_weeks,behavioural,0.08916,0.00353,0.13243
n_submissions,behavioural,0.03729,0.00185,0.07136
n_assess,behavioural,0.01603,0.00174,0.07912
on_time_rate,behavioural,0.00421,0.00067,0.0234
mean_lead_days,behavioural,0.00378,0.00067,0.02117
n_activity_types,behavioural,0.0032,0.00097,0.01191
total_clicks,behavioural,0.00288,0.00122,0.04347
D4_persistence,MPI,0.00281,0.00092,0.02199
D3_timeliness,MPI,0.00194,0.00119,0.01923
MPI,MPI,0.00052,0.00042,0.00465
D2_diversity,MPI,0.00033,0.00079,0.00854
consistency_inv_cv,behavioural,0.00018,0.00108,0.02528
studied_credits,demographic,0.00012,0.00032,0.00472
imd_numeric,demographic,0.00011,0.00061,0.00527
n_banked,behavioural,-2e-05,7e-05,0.00035
age_midpoint,demographic,-5e-05,0.00014,0.00076
resource_entropy,behavioural,-0.00027,0.00068,0.00915
num_of_prev_attempts,demographic,-0.00043,0.00018,0.00236
education_level,demographic,-0.0006,0.00077,0.00801
D1_engagement,MPI,-0.00075,0.00056,0.03718
