fold,auc_no_mpi,auc_with_mpi,delta
0,0.93776,0.94967,0.0119
1,0.93805,0.95159,0.01354
2,0.93455,0.94748,0.01293
3,0.93684,0.95072,0.01388
4,0.93197,0.94556,0.0136
5,0.93668,0.95042,0.01374
6,0.9347,0.94861,0.01391
7,0.93146,0.94497,0.01351
8,0.93419,0.94646,0.01227
9,0.94201,0.95474,0.01273
10,0.93716,0.94971,0.01255
11,0.93564,0.94848,0.01284
12,0.9308,0.94424,0.01344
13,0.93709,0.95092,0.01383
14,0.93844,0.95172,0.01327
15,0.9324,0.94564,0.01324
16,0.93784,0.95103,0.01319
17,0.93091,0.94574,0.01483
18,0.93935,0.95125,0.01189
19,0.93851,0.95129,0.01278
20,0.93624,0.94921,0.01297
21,0.933,0.94623,0.01323
22,0.93598,0.9489,0.01292
23,0.93697,0.95011,0.01315
24,0.93729,0.95073,0.01344
